2023-01-19 15:16 DEBUG Starting new HTTPS connection (1): api.binance.com:443
2023-01-19 15:16 DEBUG https://api.binance.com:443 "GET /api/v3/ping HTTP/1.1" 200 2
2023-01-19 15:16 DEBUG Starting new HTTPS connection (1): api.binance.com:443
2023-01-19 15:16 DEBUG https://api.binance.com:443 "GET /api/v3/ping HTTP/1.1" 200 2
2023-01-19 15:16 DEBUG Starting new HTTPS connection (1): fapi.binance.com:443
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?interval=1m&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112574503&interval=1m&limit=1&startTime=0&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1574840700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1574900700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1574960700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575020700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575080700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575140700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575200700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575260700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575320700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575380700000&symbol=ETHUSDT HTTP/1.1" 200 None
